Frame Number,Vehicle,License Plate,Average Score
127,motorcycle_11.0,18L1-02080,0.7950157192018297
127,motorcycle_12.0,37P1-17406,0.9165241056018405
127,motorcycle_8.0,29K1-3076,0.6168922837823629
128,motorcycle_10.0,29H2-7837,0.8569196090102196
128,motorcycle_11.0,18L1-02080,0.8009470568762885
128,motorcycle_12.0,37P1-17406,0.9192985826068454
129,motorcycle_10.0,29H2-7837,0.8108356483280659
129,motorcycle_11.0,18L1-02080,0.8052042225996653
129,motorcycle_12.0,37P1-17406,0.9207479556401571
129,motorcycle_8.0,29K1-80756,0.5276811255349053
130,motorcycle_9.0,18A-12145,0.8868508040904999
130,motorcycle_10.0,29H2-7837,0.8644019737839699
130,motorcycle_11.0,18L1-02080,0.8416392604509989
130,motorcycle_12.0,37P1-17406,0.9187210069762336
130,motorcycle_8.0,29K1-8075,0.6074790358543396
131,motorcycle_9.0,18A-12145,0.8861672729253769
131,motorcycle_10.0,29H2-7837,0.8150098919868469
131,motorcycle_11.0,18L1-02080,0.8621208866437277
131,motorcycle_12.0,37P1-17406,0.9134005705515543
131,motorcycle_8.0,29K1-8075,0.5934327710419893
132,motorcycle_9.0,18A-12145,0.8902867659926414
132,motorcycle_10.0,29H2-78037,0.7586379448572794
132,motorcycle_12.0,37P1-17406,0.9273982379171584
132,motorcycle_8.0,29K1-0764,0.5700251189991832
133,motorcycle_10.0,29H2-7837,0.8081435710191727
133,motorcycle_11.0,18L1-02000,0.8939783109558953
133,motorcycle_12.0,37P1-17406,0.9249827994240655
134,motorcycle_10.0,29H2-7837,0.8573282584547997
134,motorcycle_11.0,18LA-02030,0.7890073822604285
134,motorcycle_12.0,37P1-17406,0.9258590208159553
134,motorcycle_8.0,29K1-4064,0.549787137657404
135,motorcycle_9.0,18B4-12145,0.7921881477038065
135,motorcycle_10.0,29H2-7837,0.806434515863657
135,motorcycle_11.0,18LA-0200,0.8527175672352314
135,motorcycle_12.0,37P1-17406,0.9281965957747565
135,motorcycle_8.0,29K1-8064,0.6264477483928204
136,motorcycle_10.0,29H2-7837,0.794354822486639
136,motorcycle_11.0,18LA-02030,0.8179680539502038
136,motorcycle_12.0,37P1-17406,0.9211004376411438
136,motorcycle_8.0,29K1-80764,0.5889383628964424
137,motorcycle_10.0,29H2-7837,0.7933823801577091
137,motorcycle_11.0,18LA-02030,0.8539067904154459
137,motorcycle_12.0,37P1-17406,0.909080856376224
137,motorcycle_8.0,29K1-8064,0.734759509563446
138,motorcycle_10.0,29H2-7837,0.7615726068615913
138,motorcycle_11.0,18LA-02030,0.899376802974277
138,motorcycle_12.0,37P1-17406,0.907626383834415
138,motorcycle_8.0,29K1-8064,0.82449010014534
139,motorcycle_10.0,29H2-7837,0.6324460376054049
139,motorcycle_11.0,18LA-02030,0.8616922696431478
139,motorcycle_12.0,37P1-17406,0.8962154388427734
139,motorcycle_8.0,29K1-8064,0.7469655945897102
140,motorcycle_10.0,29H2-7837,0.6650263536721468
140,motorcycle_12.0,37P1-17406,0.9149474435382419
141,motorcycle_10.0,29H2-7837,0.6054355353116989
141,motorcycle_11.0,18LA-02030,0.8775533901320564
141,motorcycle_12.0,37P1-17406,0.9072728753089905
142,motorcycle_10.0,29H2-7837,0.7122246026992798
142,motorcycle_11.0,18LA-07030,0.8765046464072334
142,motorcycle_12.0,37P1-17406,0.9044881926642524
143,motorcycle_10.0,29H2-7837,0.6713450364768505
143,motorcycle_11.0,18LA-02030,0.8456581698523628
143,motorcycle_12.0,37P1-17406,0.916093283229404
144,motorcycle_10.0,29H-78537,0.529480105265975
144,motorcycle_12.0,37P1-17406,0.9108156628078885
145,motorcycle_10.0,29H2-7837,0.6912391120567918
145,motorcycle_12.0,37P1-17406,0.8909363283051385
146,motorcycle_10.0,29H2-27837,0.5200314943989118
146,motorcycle_12.0,37P1-17406,0.9038778477244906
147,motorcycle_10.0,29H2-7837,0.5917969420552254
147,motorcycle_11.0,18LA-02030,0.8380661871698167
147,motorcycle_12.0,37P1-17406,0.9167189929220412
147,motorcycle_15.0,29F5-55665,0.5718210372659895
147,motorcycle_17.0,29F5-5565,0.5859551373869181
148,motorcycle_10.0,29H-72837,0.569055138155818
148,motorcycle_12.0,37P1-17406,0.9243301616774665
148,motorcycle_15.0,29F5-5665,0.8065407760441303
148,motorcycle_17.0,29F5-5665,0.8125820532441139
149,motorcycle_12.0,37P1-17406,0.9108612404929267
149,motorcycle_17.0,29F5-5665,0.7986987149342895
150,motorcycle_11.0,18LA-02030,0.816940595706304
150,motorcycle_12.0,37P1-17406,0.904845654964447
150,motorcycle_17.0,29F5-55665,0.7919136186440786
151,motorcycle_12.0,37P1-17406,0.909184561835395
151,motorcycle_17.0,29F5-55665,0.7844679322507646
152,motorcycle_11.0,18LA-02030,0.80522710747189
152,motorcycle_12.0,37P1-17406,0.9097855620914035
152,motorcycle_17.0,29F5-55665,0.8135679529772865
153,motorcycle_9.0,14LL-12145,0.6128670059972339
153,motorcycle_11.0,18LA-02030,0.8369952771398756
153,motorcycle_12.0,37P1-17406,0.9093625346819559
153,motorcycle_17.0,29F5-5565,0.8282491080462933
154,motorcycle_11.0,18LA-02000,0.8191022674242655
154,motorcycle_12.0,37P1-17406,0.9036237067646451
154,motorcycle_17.0,29F5-5565,0.8725685775279999
155,motorcycle_11.0,18L1-02030,0.7902328438229032
155,motorcycle_12.0,37P1-17406,0.915698958767785
155,motorcycle_17.0,29F5-55665,0.7719788087738885
156,motorcycle_11.0,18L1-02030,0.8102399110794067
156,motorcycle_12.0,37P1-17406,0.9146193398369683
156,motorcycle_17.0,29F5-5565,0.8264963254332542
